TDNTuple4Agt: USESYM:false, P:7, NORMALIZE:false, sigmoid:none, lambda:0.0, horizon:1, AFTERSTATE:false, learnFromRM: true
TDNTuple4Agt: alpha_init->final:0.25->0.25, epsilon_init->final:0.0->0.0, gamma: 1.0, random 60 7-tuple, evalQ: 1, evalT: -1
agtFile; run; competeNum; dEdax; iterMWrap; EPS; p_MWrap; c_puct; winrate; pTwist; EE
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 4.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 5.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 6.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 7.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 1.0; 8.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.99; 9.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.985; 10.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.96; 11.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.935; 12.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.94; 13.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.88; 14.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.91; 15.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 0; 1.0E-8; 0; 1.0; 0.915; 16.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 1.0; 1.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 1.0; 2.0; 50.0
multiTrain/TCL4-p16-ET20-3000k-60-7t_00.agt.zip; 0; 1; 0; 100; 1.0E-8; 0; 1.0; 1.0; 3.0; 50.0
